TransactionID,CustomerID,Name,Gender,Age,Region,ProductID,ProductName,Category,Quantity,Channel,Sales,TransactionDate
d0cf2698-ccc8-4581-bd6b-fddea4fb5e58,CUST0002,Jerry Velasquez,Female,46,North,PROD039,Meeting,Sports,1,Email,75.78,11/07/2024
61849370-5c71-441f-a1e3-f8b580c6b8d3,CUST0003,Ashley Lewis,Male,32,East,PROD031,Process,Home & Kitchen,5,Email,225.68,20/06/2024
4c97f78e-c161-4644-a919-3ed029776fc8,CUST0008,Gregory Chen,Female,36,East,PROD022,Image,Groceries,3,Email,866.55,05/07/2024
382cae16-3467-49da-9b2f-c9e33f2c894f,CUST0012,Kimberly Berger,Male,41,South,PROD079,Civil,Books,5,Email,49.59,09/07/2024
f071f5f8-a923-4380-80fa-570749ff3c82,CUST0016,Gregory Hill,Female,20,West,PROD035,Nature,Clothing,2,Email,402.41,17/06/2024
175caa3e-a4b0-4da1-9883-e53bf76a7033,CUST0016,Gregory Hill,Female,20,West,PROD052,Economy,Sports,1,Email,169.62,27/06/2024
dadb7436-15c1-444e-8aaf-5e382f1c2e9f,CUST0023,James Nicholson,Female,19,South,PROD031,Process,Home & Kitchen,2,Email,100.3,02/07/2024
064f2f6f-17e2-4490-b5e1-5b2353a92668,CUST0026,Dwayne Barry,Male,29,South,PROD082,Beautiful,Sports,4,Email,1606.03,06/07/2024
78aaf6df-db90-4cc3-a02b-6934614b655d,CUST0026,Dwayne Barry,Male,29,South,PROD034,Everything,Clothing,4,Email,1108.08,03/07/2024
c19aa007-3882-445f-87f6-ffb4eff26828,CUST0028,Omar Jones,Male,61,South,PROD080,Whom,Electronics,1,Email,436.58,23/06/2024
c201a332-1b68-4707-b747-1a846cacb19d,CUST0029,Thomas Sharp,Male,42,North,PROD078,Number,Books,3,Email,1445.4,10/07/2024
ed1325e7-471e-4d92-8f96-0a6b62bb47cd,CUST0032,Misty Shelton,Female,59,West,PROD096,Bed,Home & Kitchen,5,Email,720.4,05/07/2024
95636183-e50e-4038-a08d-4f33fa80c261,CUST0033,Jacob Nguyen,Female,45,South,PROD070,Hard,Books,5,Email,1468.62,02/07/2024
5368e36d-f4dc-4c1c-8c44-1a7f1eb7a6b0,CUST0037,Kyle Pugh,Male,68,East,PROD002,Western,Clothing,5,Email,1946.6,10/07/2024
a135dcb4-7240-4ad7-b8b7-fe9eb4dc97e0,CUST0039,Samuel Kelly,Male,69,South,PROD065,Use,Electronics,1,Email,10.09,27/06/2024
4896e9be-7fa8-4455-a20d-663228605ad6,CUST0040,Ricardo Robertson,Female,20,North,PROD026,Figure,Sports,2,Email,285.07,09/07/2024
08817a0d-6ada-4a05-8fa8-c6c7a465d24d,CUST0041,Tammy Garrison,Female,54,South,PROD087,Four,Home & Kitchen,5,Email,2302.8,16/06/2024
40730219-3779-4d72-8ab4-b8744bfc508d,CUST0043,Ian Perez,Male,24,East,PROD074,Nature,Groceries,1,Email,181.03,29/06/2024
1c2ab86c-7430-415a-8934-89a82b77b563,CUST0044,Tiffany Howell,Male,38,East,PROD093,Movie,Books,4,Email,1118.11,09/07/2024
d364a116-f26f-4a03-be1b-ab6040ea9143,CUST0049,Elizabeth Wright,Male,42,East,PROD097,Fire,Clothing,2,Email,950.9,27/06/2024
d1a447a8-5587-45bf-bfc4-ec445a704a47,CUST0049,Elizabeth Wright,Male,42,East,PROD022,Image,Groceries,4,Email,1155.4,20/06/2024
6595fbf3-84a2-415e-87f5-3c652c1d3b7b,CUST0052,Stephen Johnson,Female,26,East,PROD013,On,Groceries,3,Email,441.23,08/07/2024
6a366e27-3092-4035-a507-30395df9ccc7,CUST0054,Matthew Hernandez,Male,19,East,PROD056,Early,Electronics,3,Email,1133.76,01/07/2024
bb52d27a-05ae-436e-ba4a-b19f803d5a9a,CUST0058,Elizabeth Allen,Female,24,East,PROD049,Cut,Clothing,3,Email,126.87,24/06/2024
2caba049-65fa-4c5d-9760-5a752795e2a5,CUST0058,Elizabeth Allen,Female,24,East,PROD090,Huge,Clothing,4,Email,1257.84,23/06/2024
306375ec-3b81-410e-856a-a3f19257d8e7,CUST0060,Jennifer Sheppard,Male,25,West,PROD081,Wish,Home & Kitchen,3,Email,71.17,22/06/2024
e5a7d924-8ad2-4946-b240-00e1805d6940,CUST0068,Sandra Walker,Male,21,South,PROD080,Whom,Electronics,5,Email,2425.45,18/06/2024
04c80fb9-c9ef-4b72-bb60-989501e77763,CUST0072,Amy Olson,Female,21,East,PROD096,Bed,Home & Kitchen,2,Email,244.94,24/06/2024
83132339-6810-417b-bc6e-a1a29b48042e,CUST0074,Jeffrey Kane,Male,35,North,PROD094,Left,Home & Kitchen,2,Email,766.82,02/07/2024
